cibil_score,income,dependents,loan_amount,tenure,down_payment,existing_emi,credit_card,employment_type,statement_score,emi,account_age,overdrafts,bounced_payments,late_emi_ratio,income_volatility,avg_balance,transaction_frequency,monthly_spending,approved
353,160047,3,473670,33,22518,29082,0,1,1.0668014874245253,14353.636363636364,111,1,1,0.10937489466844222,0.36167460362704995,29478,142,83964,0
765,140934,4,67909,31,150462,34947,0,1,30.934954284680767,2190.6129032258063,100,2,3,0.6393240709521476,0.7327920205396589,116386,198,81588,0
693,187388,3,689478,9,170974,5737,1,1,0.0,76608.66666666667,76,5,2,0.7905487398818665,0.7772345866212858,51176,134,63425,0
563,192906,3,482271,12,219719,9842,0,0,39.468582390812394,40189.25,39,0,0,0.288311632494575,0.7900522676008784,81708,170,57505,0
560,146883,2,782978,38,171656,1493,1,1,0.0,20604.684210526317,80,0,3,0.6922796913919442,0.7401079814042882,136477,67,40498,0
816,86764,1,637170,37,56467,19559,0,0,76.44334689083391,17220.81081081081,69,1,0,0.6100363766086899,0.2316226112425449,29767,84,62846,0
351,127833,1,797893,36,110046,19765,1,0,0.0,22163.694444444445,112,3,1,0.7292682358069986,0.289086640155928,65230,149,15638,0
719,96515,4,487376,14,133137,1188,1,1,7.775169024755964,34812.57142857143,30,4,2,0.3394979812647435,0.9420410075640557,27876,176,47490,0
421,133238,0,57541,34,295184,26462,1,0,0.0,1692.3823529411766,6,3,2,0.08104120385905943,0.5538603817453274,66654,5,149068,0
356,166182,0,174113,9,159759,355,1,0,0.0,19345.88888888889,18,2,1,0.09468496509194298,0.7544504012773732,46582,90,28631,0
616,86480,2,485956,13,190494,31715,1,0,0.0,37381.230769230766,23,5,3,0.6105587363664338,0.5991956795594215,137491,162,111172,0
886,111037,4,427600,33,220670,28218,1,0,30.279267627153043,12957.575757575758,81,1,3,0.6906654715986944,0.9245018652468179,46846,27,10025,0
742,28214,3,804645,39,108672,32605,0,1,10.330506671325622,20631.923076923078,20,5,3,0.36561339274964083,0.8687818180963168,92889,74,111404,0
757,152583,3,441073,42,289337,4731,1,0,68.56147887469278,10501.738095238095,18,1,1,0.04765671138971675,0.2613747913556239,22227,112,43339,1
731,108174,3,867177,60,202473,34815,1,0,17.129320010339114,14452.95,49,1,3,0.05336483228783173,0.8847094719558888,69495,21,106844,0
772,102748,0,228330,52,254483,21912,0,1,61.82938406196883,4390.961538461538,95,5,0,0.478880280049939,0.30003935878031307,125530,184,77009,1
608,115838,1,415630,26,224767,34534,0,0,0.0,15985.76923076923,53,3,3,0.7348994801719761,0.44098045143066167,101462,77,117466,0
376,58789,0,768492,49,186456,27840,0,1,0.0,15683.510204081633,35,2,2,0.3196668109647332,0.851233578118903,43829,158,101680,0
804,127634,4,167890,11,9262,26256,1,0,45.71068887573802,15262.727272727272,36,1,2,0.5204958521593247,0.3240190753390071,145836,88,85920,0
570,154137,4,355330,53,175092,1289,1,0,25.83273743988544,6704.33962264151,99,2,0,0.4336062151654172,0.2907719181874995,120733,83,111335,0
600,82942,1,764264,27,38853,27680,0,1,0.0,28306.074074074073,54,4,3,0.7118062755616492,0.66865684939592,61553,194,145054,0
522,43608,1,609538,47,180956,17950,1,1,9.619458458903377,12968.893617021276,46,0,1,0.6659100893137883,0.999676362413976,146071,172,91363,0
409,89630,1,789166,59,210420,33970,0,0,0.0,13375.694915254237,94,1,2,0.159478848135523,0.13105698109144814,29725,106,30211,0
856,55745,5,539944,44,163554,27366,1,0,70.66102244485506,12271.454545454546,46,1,0,0.5420344788477748,0.701060646519703,51130,95,21829,0
769,87309,2,866232,56,92532,2974,0,1,38.074594966985046,15468.42857142857,45,2,3,0.6780025486476307,0.5269553879052183,139723,158,84403,0
686,132829,4,883556,6,17808,35590,0,1,21.834136193168977,147259.33333333334,91,4,1,0.7441995054500312,0.4106174903087034,145595,139,67574,0
541,40411,2,975831,15,201316,2516,0,1,10.408597942277945,65055.4,41,1,3,0.47194171242017763,0.7498587497078161,123824,196,93241,0
794,154509,4,165914,40,209489,11969,0,0,27.63826898159575,4147.85,63,4,3,0.14072898812841333,0.5548363294096091,30297,70,101774,0
627,60430,3,611630,35,143380,8672,0,1,0.0,17475.14285714286,81,5,2,0.4465856672675565,0.797811148041396,34341,27,32109,0
566,181044,1,158549,12,214901,38969,1,0,15.039321042606543,13212.416666666666,26,2,0,0.5326552093266805,0.7438539447490832,97823,43,112761,0
570,151840,5,267449,45,233735,6127,0,0,4.124670168308276,5943.311111111111,18,5,1,0.21799124921605398,0.9851189839346282,10280,108,148744,0
436,69065,4,335303,9,153744,33782,0,0,0.0,37255.88888888889,103,5,2,0.7784011857005518,0.8108658485300462,148695,66,52053,0
355,121381,4,663837,60,14302,8886,1,0,0.0,11063.95,38,4,2,0.18346100104645915,0.06679979742859687,141331,163,139667,0
633,39930,5,459654,14,261117,26026,0,1,2.9599078022327596,32832.42857142857,43,2,2,0.7290820173848307,0.7795792955441254,121639,176,139624,0
833,37953,1,871500,30,140021,3613,0,0,71.75265908810371,29050.0,72,1,0,0.3401446060197142,0.6497032202079509,145289,41,65690,0
