cibil_score,income,loan_amount,emi,account_age,overdrafts,bounced_payments,late_emi_ratio,income_volatility,avg_balance,transaction_frequency,monthly_spending,good_credit_behavior
402,80428,111753,3436,93,4,2,0.3896574222881154,0.06519280218469103,63399,87,128165,0
735,173812,921206,29151,112,1,2,0.7416030197372087,0.04992248566337909,37451,148,99102,0
570,79353,454303,13618,9,1,2,0.3864433509308174,0.11555669883633879,52413,160,99360,0
406,133132,474032,10750,15,1,1,0.3302941754681341,0.07136701388938005,93057,8,129346,0
371,36052,73408,18122,94,0,2,0.5953557225103119,0.7605581155199229,63278,59,78348,0
320,120689,174116,9354,26,3,0,0.872204528998895,0.48556620228342917,30639,19,108348,0
421,198148,705496,46062,10,2,0,0.04758319254611243,0.3428920913489797,35621,68,102862,0
766,151743,67413,32979,29,0,2,0.3854704346997354,0.41836891013200717,97985,197,19402,1
514,20163,687938,22900,118,1,1,0.1582407418152627,0.9289467355726233,14079,116,101861,0
630,61424,109500,15840,80,0,1,0.6953542507318696,0.9107518127381472,7895,148,136121,0
758,161706,920946,39167,36,0,1,0.10572456043113487,0.7156764801225769,94515,122,117089,1
387,155870,106358,7037,84,0,2,0.6648077585802445,0.8846823774216878,53142,24,36000,0
672,42420,116197,30633,109,3,2,0.2861808707979073,0.3196480275876248,13552,68,99795,0
399,140575,543992,26495,118,4,0,0.1989168137372247,0.38110932600828284,93930,37,122885,0
430,49300,798149,17848,37,2,1,0.9363525578249854,0.613712181854228,49821,85,15988,0
608,109881,273492,38483,86,3,0,0.018524576745955867,0.6236259472972642,98812,130,66999,0
643,30749,835833,49645,71,3,0,0.43777727188956894,0.48169983801234095,34630,73,123174,0
791,124131,476070,9837,23,4,1,0.02162699246179378,0.40065784843795327,71063,190,70659,1
713,176193,126240,36069,41,3,2,0.483593048104329,0.9861803116086951,13247,171,105343,0
685,148563,285595,9370,104,0,2,0.5010473777944182,0.8211236261177244,18603,168,132453,1
491,57487,572710,8411,93,0,0,0.321662471394747,0.4349801978880452,46564,98,69938,0
576,184433,795423,41133,80,1,0,0.13216177752502367,0.7272924772395685,1527,72,15149,0
460,41223,328466,32499,102,3,0,0.3763875377344753,0.2695616932524595,57521,91,48079,0
759,92930,949485,32225,28,1,0,0.672262939932566,0.10016932623732988,69458,25,143556,0
613,165128,56968,2692,48,2,1,0.7823958086444591,0.35243102555274064,6849,67,123316,0
321,48380,339662,30926,38,0,0,0.5307506023881423,0.4029728001233942,96836,89,58601,0
552,46035,888357,36246,31,2,0,0.5898343944397556,0.0165371245606708,94316,138,53809,0
860,50620,240920,41164,14,4,2,0.2006163711246527,0.814792001635896,51314,28,100636,0
774,170949,948332,10448,117,0,2,0.28733033322764945,0.3591934023891815,46724,115,140366,1
358,137360,929854,45390,97,2,2,0.16189561005235842,0.580418165780147,94676,185,111477,0
810,73352,313844,12073,73,4,1,0.24929535000461134,0.07396318727095597,18230,99,27857,0
775,181983,930214,37414,91,2,1,0.22488678022553177,0.17499682875058398,93229,87,135305,0
489,183856,282076,7209,88,4,2,0.5194487863912376,0.88969372532756,73495,106,63709,0
862,23191,73199,8533,77,4,2,0.5626887557907294,0.6086875278828008,43730,82,126839,0
866,184232,487805,23061,90,0,0,0.9449474208215045,0.9502840501704856,86203,182,133307,1
543,110536,213187,9211,29,1,0,0.19557064710152305,0.9987500343913169,92937,128,132850,0
804,124576,505150,11927,51,4,1,0.6416757101614959,0.3718601153330944,4323,144,30948,0
430,23631,559551,13927,49,4,1,0.8172592689875229,0.2988030640832746,1445,188,43782,0
784,157244,563942,26594,43,0,0,0.5602414637830525,0.8583560551590967,83945,124,92789,1
320,62080,759676,11316,92,1,2,0.2550036525010757,0.9986114270374542,10963,19,115217,0
466,110353,55520,14177,92,3,0,0.2625502300200002,0.6296412342324573,51511,87,148721,0
573,171353,684102,12846,72,3,1,0.03925305307099991,0.7951407225115223,16437,172,44723,0
687,48671,217527,9933,87,1,1,0.3054442265484817,0.7817458588152745,17855,173,84314,0
615,142811,820644,40244,93,2,0,0.7446036790033801,0.35533970821954697,82947,10,100312,0
313,147734,697652,48621,5,0,0,0.04751775720711038,0.5742703802570872,11847,71,21809,1
541,179674,589243,42696,42,1,0,0.21929528250483066,0.8330569412642136,4236,165,149374,0
645,71399,225121,4080,7,3,1,0.7062324985317819,0.6881138762610555,62897,175,18100,0
864,174544,719277,8089,42,4,2,0.7826515628228766,0.02116381398203826,14487,126,87627,0
639,27099,521797,28123,36,3,0,0.4553184100619284,0.3367056688975335,78384,153,84635,0
391,176503,300144,9797,105,4,1,0.6980743384786489,0.14447569659460535,63423,88,65020,0
666,76492,114925,10346,27,0,1,0.387952168654892,0.2329722120780391,14155,197,15663,1
754,116722,419360,21878,58,4,1,0.15991324502412751,0.9054894774913257,12255,115,105440,1
727,198756,644557,35672,46,1,0,0.3981494935229065,0.03689328891076815,2979,149,57136,0
808,50111,998458,19653,66,4,0,0.5799678202031429,0.21980071196192374,22305,140,116602,0
334,83936,353602,44742,25,2,2,0.9480532818528903,0.30956935223823145,75543,68,46104,0
505,173686,401181,28140,73,1,1,0.06875095208867732,0.6168840719663948,36094,130,49137,0
380,193063,726473,3184,117,0,0,0.5073940938449606,0.5341016900858655,36098,32,143606,0
861,80920,149977,36493,27,1,1,0.3289197782107244,0.2182694828533861,90566,102,77762,0
687,83530,555838,46148,1,2,1,0.5083116942766945,0.16424106722315446,34770,145,86438,0
301,187296,569163,26846,87,0,2,0.023975447376531678,0.2367980345961188,10734,17,46392,1
689,27788,533442,47825,74,3,0,0.3130253547015813,0.5025296267016556,72984,170,94267,0
865,48082,880371,24195,42,2,0,0.819868147527005,0.27117778571120343,40605,157,52485,0
405,143287,79345,7606,52,0,1,0.5539417338546375,0.9476025016077222,78932,194,55798,0
776,109570,829976,5956,25,4,1,0.4505824928161174,0.46386522142884756,56619,155,100680,0
701,121015,422251,18555,54,1,2,0.2855250717153396,0.058796016544637064,28881,90,105446,0
855,103588,958298,26849,67,0,2,0.2980425227913559,0.7292664058366334,64401,25,99938,1
461,167603,836086,20690,6,1,2,0.38310143359058446,0.3288452882089896,32177,186,47232,0
501,108340,543814,28347,58,4,2,0.8355707099645604,0.6534889320582475,41122,67,107239,0
569,114439,381310,35189,70,0,2,0.9672132068082684,0.279594370523232,36297,162,67172,0
570,195929,753221,40308,53,3,2,0.4386553813503745,0.5707437417333199,37680,115,107305,0
755,161214,147406,27785,66,2,1,0.39335283874776183,0.7721525048074647,84452,80,14094,0
761,135053,361442,34698,58,0,2,0.8465507758198628,0.928008741774554,52044,77,78466,1
551,68355,357086,17966,82,4,1,0.4269053206363036,0.26112714443307705,97775,164,109067,0
595,160938,577741,33097,87,0,1,0.5520181722956512,0.33485695099898116,45084,156,40755,0
637,145426,677099,17882,2,1,0,0.23094166459874443,0.4642664202859397,35189,11,39000,0
352,84027,629223,6675,76,0,1,0.7435025357790752,0.9271748377359889,14510,76,67564,0
