cibil_score,dti_ratio,employment_tenure_days,days_past_due,net_monthly_surplus,bounced_cheques_12m,monthly_income,co_applicant_income,loan_amount,loan_tenure_months,proposed_emi,loan_to_income,loan_to_value,loan_purpose,property_value,existing_loans,existing_emi_monthly,credit_enquiries_6m,credit_history_years,num_credit_cards,credit_utilization,avg_monthly_balance,balance_volatility,monthly_inflow,salary_credit_regular,employment_type,employment_tenure_years,age,education,marital_status,num_dependents,num_children,gender,city_tier,loan_approved
402,0.35,1521,60,-48076,2,309740,5000,721999,48,5200,58.43,0.94,1,5000000,5,71739,4,16,2,0.51,229963,0.09,290363,0,2,8.6,43,2,1,3,4,0,1,0
735,0.13,5368,0,35015,0,248148,50000,2604934,84,48259,14.07,0.16,2,1000000,2,32918,4,23,4,0.37,423377,0.46,478032,0,3,8.7,33,1,2,4,4,0,3,1
570,1.69,604,60,54987,4,19012,5000,2844523,12,9527,40.17,0.85,4,1000000,4,5180,3,21,3,0.39,16366,0.37,304923,0,1,13.0,65,1,2,4,4,0,2,0
406,2.79,3848,120,4333,4,35823,10000,2917089,48,11535,26.65,0.48,3,100000,2,30342,0,22,3,0.62,114379,0.05,72511,0,0,19.6,56,1,0,0,0,1,3,0
371,2.53,3342,60,165530,5,345995,10000,2952224,84,18944,4.52,0.45,0,100000,0,56246,1,9,2,0.69,246949,0.17,305758,0,2,21.6,22,1,1,2,1,0,1,0
320,2.03,7773,180,165268,2,57027,10000,1163664,48,41290,28.86,0.78,3,0,1,98634,2,14,0,0.87,405983,0.44,122862,1,3,13.3,54,2,0,5,3,0,1,0
421,0.42,5785,180,127171,3,219239,20000,445107,36,70700,31.49,0.09,4,500000,2,93222,3,9,1,0.57,324990,0.83,305223,1,3,11.1,25,0,0,3,3,1,3,0
766,0.76,1417,90,138418,0,355938,50000,2306483,12,96558,51.43,0.88,0,5000000,3,52476,4,1,2,0.22,368700,0.12,389741,1,2,15.0,22,2,2,1,2,1,3,0
514,2.63,5916,30,76372,1,297243,0,2603389,48,13438,44.21,0.67,2,0,0,50106,4,15,2,0.99,485168,0.1,304049,1,3,14.7,54,2,1,0,2,1,2,0
630,0.55,4597,120,156553,4,373571,0,2015996,120,65344,5.68,0.88,3,500000,0,44649,1,6,0,0.68,203523,0.8,107801,1,0,11.5,22,1,2,3,1,0,3,0
